,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
139266,260011302,19.0,1,32.0,2,50.0,41.3504770354,87.49,0.0
139267,261894118,26.0,1,29.0,1,45.0,933.7051489280001,74.99,0.0
139273,261900884,46.0,1,30.0,1,41.0,230.681065121,64.99,0.0
139346,261894118,26.0,1,29.0,1,45.0,284.138700241,74.99,0.0
139377,260010106,46.0,1,30.0,1,41.0,769.960708375,37.99,0.0
139388,260010352,26.0,1,29.0,1,45.0,233.994509077,54.99,0.0
139439,261898968,30.0,1,51.0,1,51.0,576.503192934,84.99,0.0
139462,261894118,26.0,1,29.0,1,45.0,409.382121755,80.518,0.0
139556,261893940,26.0,1,29.0,1,45.0,337.600445676,64.99,0.0
139602,261893940,26.0,1,29.0,1,45.0,680.726239381,74.99,0.0
139695,261898968,30.0,1,51.0,1,51.0,299.823379572,84.99,0.0
139711,261894118,26.0,1,29.0,1,45.0,928.168696549,80.518,0.0
139721,260010384,46.0,1,30.0,2,41.0,926.293266002,77.75399999999998,0.0
139730,261894118,26.0,1,29.0,1,45.0,410.524082555,74.99,1.0
139793,261898968,30.0,1,51.0,1,51.0,889.1030753739999,84.99,0.0
139826,260013554,26.0,1,29.0,1,45.0,470.09488286199996,54.99,0.0
139845,261894118,26.0,1,29.0,1,45.0,878.375215745,81.9,0.0
139848,261894150,19.0,1,32.0,1,50.0,437.53604295300005,242.55,0.0
139882,260011462,26.0,1,29.0,1,45.0,357.908836068,99.99,0.0
139899,261893940,26.0,1,29.0,1,45.0,578.981179653,64.99,0.0
139955,260011270,30.0,1,51.0,1,51.0,108.289772473,99.99,0.0
140041,260010352,26.0,1,29.0,1,45.0,621.382631679,54.99,0.0
140043,260010352,26.0,1,29.0,1,45.0,510.208770416,54.99,0.0
140061,260010352,26.0,1,29.0,1,45.0,986.375715678,54.99,0.0
140076,261893940,26.0,1,29.0,1,45.0,704.884247052,64.99,0.0
140202,260007226,23.0,1,25.0,1,34.0,585.6692797769999,37.24,0.0
140282,261894118,26.0,1,29.0,1,45.0,272.49400646,81.9,0.0
140283,261898968,30.0,1,51.0,1,51.0,707.1409691160001,84.99,0.0
140314,260010704,46.0,1,30.0,2,41.0,81.8702908369,112.53,0.0
140347,261893940,26.0,1,29.0,1,45.0,935.371732322,64.99,0.0
140353,261894150,19.0,1,32.0,1,50.0,316.438377798,169.99,0.0
140373,261894118,26.0,1,29.0,1,45.0,632.818349381,78.445,0.0
140475,260011902,26.0,1,29.0,2,45.0,797.068705609,23.99,0.0
140510,261894118,26.0,1,29.0,1,45.0,407.541895178,97.9266666667,0.0
140565,261894118,26.0,1,29.0,1,45.0,406.54570471,74.99,0.0
140582,261894118,26.0,1,29.0,1,45.0,764.211041423,103.78,0.0
140699,260011302,19.0,1,32.0,2,50.0,790.80901703,94.385,0.0
140793,261898968,30.0,1,51.0,1,51.0,696.238719196,84.99,0.0
140889,260010352,26.0,1,29.0,1,45.0,551.951272616,54.99,0.0
140921,261894150,19.0,1,32.0,1,50.0,804.73108468,169.99,1.0
140954,260009916,46.0,1,30.0,1,41.0,775.33981996,75.01,0.0
140987,256329434,48.0,3,26.0,3,2.5,543.270919815,339.0,0.0
140993,261901098,21.0,1,36.0,1,59.0,337.68455699599997,149.99,0.0
140994,261893992,19.0,1,32.0,1,50.0,881.71656157,99.99,0.0
141095,260010384,46.0,1,30.0,2,41.0,580.705912905,37.99,0.0
141117,261900884,46.0,1,30.0,1,41.0,265.5772577,64.99,0.0
141168,260010106,46.0,1,30.0,1,41.0,974.137948477,37.99,0.0
141193,256332650,36.5,3,23.5,3,2.5,34.40401084,68.99,0.0
141243,261893992,19.0,1,32.0,1,50.0,896.516105899,99.99,0.0
141288,261894118,26.0,1,29.0,1,45.0,40.492349692800005,74.99,0.0
141322,261894150,19.0,1,32.0,1,50.0,733.905624306,68.32333333333332,0.0
141346,261894150,19.0,1,32.0,1,50.0,690.2642990969998,61.65666666666666,0.0
141359,260010352,26.0,1,29.0,1,45.0,520.465959449,54.99,0.0
141429,260009916,46.0,1,30.0,1,41.0,777.298041528,68.44500000000001,0.0
141430,261894118,26.0,1,29.0,1,45.0,110.161409673,81.9,0.0
141437,261894150,19.0,1,32.0,1,50.0,714.407979455,169.99,0.0
141456,261900884,46.0,1,30.0,1,41.0,718.535171712,64.99,0.0
141464,261894118,26.0,1,29.0,1,45.0,230.19296047400002,74.99,0.0
141488,261894118,26.0,1,29.0,1,45.0,4.88765982064,81.9,0.0
141492,261893992,19.0,1,32.0,1,50.0,227.11870229299998,99.99,0.0
141503,260010352,26.0,1,29.0,1,45.0,943.765389327,54.99,0.0
141516,261898968,30.0,1,51.0,1,51.0,164.77951263100002,84.99,0.0
141521,261894118,26.0,1,29.0,1,45.0,480.061869019,81.9,0.0
141603,261894118,26.0,1,29.0,1,45.0,84.2657255821,74.99,0.0
141628,261894150,19.0,1,32.0,1,50.0,452.441298711,169.99,0.0
141636,261894118,26.0,1,29.0,1,45.0,381.81252332199995,74.99,0.0
141687,260013554,26.0,1,29.0,1,45.0,971.123578596,54.99,0.0
141717,261893992,19.0,1,32.0,1,50.0,980.418940897,99.99,0.0
141719,261900970,30.0,1,51.0,1,51.0,569.6059075080001,90.945,0.0
141726,261894118,26.0,1,29.0,1,45.0,804.5968521189999,81.9,0.0
141816,260009916,46.0,1,30.0,1,41.0,94.73875648389999,75.01,0.0
141821,261898968,30.0,1,51.0,1,51.0,946.1577671539999,84.99,0.0
141866,260011302,19.0,1,32.0,2,50.0,852.4511103980002,92.49,0.0
141871,260011462,26.0,1,29.0,1,45.0,157.961318379,99.99,0.0
141880,260010352,26.0,1,29.0,1,45.0,445.024431292,54.99,0.0
142046,260009916,46.0,1,30.0,1,41.0,204.338581709,75.01,0.0
142049,261893940,26.0,1,29.0,1,45.0,14.784767799,64.99,0.0
142164,261893940,26.0,1,29.0,1,45.0,657.201908773,64.99,0.0
142205,260013554,26.0,1,29.0,1,45.0,777.7462244569998,69.99,0.0
142209,261894118,26.0,1,29.0,1,45.0,938.304565469,74.99,0.0
142267,260010704,46.0,1,30.0,2,41.0,737.348144407,112.53,0.0
142287,260010352,26.0,1,29.0,1,45.0,421.14589622,54.99,0.0
142290,260013628,30.0,1,51.0,2,51.0,322.061740043,114.99,0.0
142357,261898968,30.0,1,51.0,1,51.0,59.2378251266,84.99,0.0
142436,260011902,26.0,1,29.0,2,45.0,843.631743935,23.99,0.0
142479,261898968,30.0,1,51.0,1,51.0,7.64091020398,84.99,1.0
142487,261894118,26.0,1,29.0,1,45.0,191.5364979,81.9,0.0
142506,260010352,26.0,1,29.0,1,45.0,154.663043034,54.99,0.0
142525,260010106,46.0,1,30.0,1,41.0,416.288812779,37.99,0.0
142566,261898968,30.0,1,51.0,1,51.0,547.551129514,84.99,0.0
142594,261894150,19.0,1,32.0,1,50.0,100.292306609,169.99,0.0
142677,260013586,19.0,1,32.0,1,50.0,373.64705944300005,122.49,0.0
142746,261894118,26.0,1,29.0,1,45.0,300.737859795,74.99,0.0
142819,261901098,21.0,1,36.0,1,59.0,484.007390575,149.99,0.0
142861,261894118,26.0,1,29.0,1,45.0,321.329396977,99.39,0.0
142871,260009916,46.0,1,30.0,1,41.0,23.724958449099997,75.01,0.0
142873,261893992,19.0,1,32.0,1,50.0,595.152846439,99.99,0.0
142911,260010352,26.0,1,29.0,1,45.0,372.18914617,54.99,0.0
142925,260011270,30.0,1,51.0,1,51.0,294.203568349,54.99,0.0
142928,260010352,26.0,1,29.0,1,45.0,604.2507938580001,54.99,0.0
142967,260010384,46.0,1,30.0,2,41.0,123.734393611,37.99,0.0
142983,261898968,30.0,1,51.0,1,51.0,723.976651544,84.99,0.0
142986,261894118,26.0,1,29.0,1,45.0,449.313181805,78.445,0.0
143058,261894118,26.0,1,29.0,1,45.0,281.547379321,78.445,0.0
143067,260011902,26.0,1,29.0,2,45.0,234.87028354400002,23.99,0.0
143075,261894118,26.0,1,29.0,1,45.0,549.8675574719999,74.99,0.0
143138,260011516,26.0,1,29.0,2,45.0,603.380364995,64.99,0.0
143187,261894150,19.0,1,32.0,1,50.0,289.504455885,58.24,0.0
143269,261894182,54.0,1,29.0,1,46.0,97.1100233786,51.49,0.0
143321,260011516,26.0,1,29.0,2,45.0,86.8515933981,44.74,0.0
143342,260010106,46.0,1,30.0,1,41.0,893.8421888089999,37.99,0.0
143367,260010352,26.0,1,29.0,1,45.0,721.5022088710001,54.99,0.0
143385,261898968,30.0,1,51.0,1,51.0,193.785188092,84.99,0.0
143410,256332618,3.5,2,24.5,3,35.5,898.644117603,169.99,0.0
143415,261894118,26.0,1,29.0,1,45.0,465.44224673699995,74.99,0.0
143476,261894118,26.0,1,29.0,1,45.0,637.866009321,74.99,0.0
143477,260007226,23.0,1,25.0,1,34.0,300.04160248799997,37.24,0.0
143488,260010352,26.0,1,29.0,1,45.0,315.879633392,54.99,0.0
143500,260010384,46.0,1,30.0,2,41.0,202.93968394,37.99,0.0
143525,260013628,30.0,1,51.0,2,51.0,694.1411958880002,114.99,1.0
143539,260010352,26.0,1,29.0,1,45.0,933.261400331,54.99,0.0
143632,261900884,46.0,1,30.0,1,41.0,872.165259397,64.99,1.0
143710,261894118,26.0,1,29.0,1,45.0,948.0244236039999,76.372,0.0
143728,261894118,26.0,1,29.0,1,45.0,553.257665459,81.9,0.0
143789,260013586,19.0,1,32.0,1,50.0,154.689889733,125.945,0.0
143828,256332650,36.5,3,23.5,3,2.5,235.18817644900003,169.99,0.0
143870,261901098,21.0,1,36.0,1,59.0,203.017930315,149.99,0.0
143913,260011462,26.0,1,29.0,1,45.0,99.3727620642,131.26,0.0
143916,260010704,46.0,1,30.0,2,41.0,94.73875648389999,112.53,0.0
143917,261894118,26.0,1,29.0,1,45.0,134.426204368,99.39,0.0
143970,261894118,26.0,1,29.0,1,45.0,7.891428501689999,81.9,0.0
143999,261893992,19.0,1,32.0,1,50.0,596.60201187,68.44500000000001,0.0
144133,260010352,26.0,1,29.0,1,45.0,744.243342015,54.99,0.0
144188,260011516,26.0,1,29.0,2,45.0,51.637423293699996,64.99,0.0
144216,261894182,54.0,1,29.0,1,46.0,472.77039601900003,79.99,0.0
144253,260010352,26.0,1,29.0,1,45.0,169.087515062,54.99,0.0
144268,261893940,26.0,1,29.0,1,45.0,282.663046577,65.0,0.0
144273,260009916,46.0,1,30.0,1,41.0,675.64333077,75.01,0.0
144311,261900884,46.0,1,30.0,1,41.0,252.292406328,64.99,0.0
144317,261894118,26.0,1,29.0,1,45.0,998.434627002,95.0,0.0
144455,260010106,46.0,1,30.0,1,41.0,523.92660444,37.99,0.0
144497,261894118,26.0,1,29.0,1,45.0,834.6309312210001,88.6840425532,0.0
144521,261894118,26.0,1,29.0,1,45.0,681.3382311290001,81.9,0.0
144569,261894150,19.0,1,32.0,1,50.0,619.9058941330001,242.55,0.0
144589,261894118,26.0,1,29.0,1,45.0,379.25952528,83.2114814815,0.0
144618,260009916,46.0,1,30.0,1,41.0,895.827290719,75.01,0.0
144633,260010352,26.0,1,29.0,1,45.0,660.460457286,54.99,0.0
144651,261898968,30.0,1,51.0,1,51.0,115.56448077299999,84.99,0.0
144699,260011902,26.0,1,29.0,2,45.0,185.628103772,23.99,0.0
144728,256329434,48.0,3,26.0,3,2.5,940.73061689,339.0,0.0
144730,261900970,30.0,1,51.0,1,51.0,366.222404016,218.46333333335,0.0
144805,261894118,26.0,1,29.0,1,45.0,933.4540454810001,97.9266666667,0.0
144879,260013662,30.0,1,51.0,1,51.0,70.3839691064,99.99,0.0
144885,261894118,26.0,1,29.0,1,45.0,81.8790135962,74.99,0.0
144905,260013662,30.0,1,51.0,1,51.0,601.818358969,99.99,0.0
144915,260010352,26.0,1,29.0,1,45.0,702.166009272,54.99,0.0
