,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
140146,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,919.4142937339999,276.9,0.0
140375,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,279.055830485,186.38232142854997,0.0
140871,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,402.61793047599997,95.8646428571,0.0
141037,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,674.389534846,95.84732142855,0.0
141906,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,62.2223254705,95.83,0.0
141910,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,553.747182896,110.899245283,0.0
142001,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,728.529157007,349.99,0.0
142089,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,927.4602339610001,95.83,0.0
142284,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,926.129181993,97.78,0.0
142310,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,851.135020404,97.2925,0.0
142582,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,522.3533818569999,96.805,0.0
142695,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,890.699149143,96.3175,0.0
142864,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,160.83700619299998,95.83,0.0
142889,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,880.140218461,165.27,0.0
142934,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,631.9267146340001,110.899245283,0.0
143073,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,865.3785225160001,110.35127272700001,0.0
143776,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,593.1536723869999,95.83,0.0
143816,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,514.754789283,95.83,0.0
143857,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,594.245608401,95.83,0.0
143956,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,232.62780584200001,95.8797435897,0.0
144114,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,14.408947328399998,276.9,0.0
144164,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,752.289973502,147.91,0.0
144325,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,217.072797122,95.83,0.0
144394,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,935.7365542580001,95.83,0.0
144425,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,53.882676079300005,95.83,0.0
144723,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,980.9243666689999,95.83,0.0
144776,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,935.024561429,95.83,0.0
144825,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,942.00302866,95.83,0.0
144923,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,605.985957842,108.6374074075,0.0
145454,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,721.5233930160001,121.444814815,0.0
145981,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,124.124477411,95.8646428571,0.0
146060,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,9.12237606249,95.83,0.0
146106,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,448.783207208,295.68,0.0
146282,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,177.430561159,96.8,0.0
146306,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,876.006080977,95.83,0.0
146420,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,109.30406662700001,95.84616666666666,0.0
147088,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,665.023952911,95.86233333333334,0.0
147144,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,427.862190019,95.8785,0.0
147270,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,447.17022432699997,349.99,0.0
147413,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,191.309883056,95.8623333333,0.0
147798,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,61.543489866899996,276.9,0.0
148188,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,976.322835018,95.83,0.0
148369,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,418.616756067,95.83,0.0
148799,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,414.340870579,165.27,0.0
148967,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,315.836083749,95.8646428571,0.0
149035,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,845.736902075,95.83,0.0
149052,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,491.24101818300005,95.83,0.0
149278,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,987.9228785519999,95.83,0.0
149360,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,301.271114334,95.83,0.0
149482,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,928.392365966,95.83,0.0
149915,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,559.451317675,106.537,0.0
150178,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,285.497278999,117.244,0.0
150381,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,353.550505171,111.18903846200001,0.0
