,ITEM_ID,MARCA,TEM_FERRO_FUNDIDO,TEM_TAMPA,TIPO_WOK,SESSION_ID,ITEM_PRICE,INTERESTED
160744,242956508,5,1,0.0,1,850.2080834019998,29.7,0.0
160773,258461002,4,1,1.0,1,997.507315945,48.8,0.0
160782,257165624,4,1,0.0,1,847.6397323880002,67.9,0.0
160805,242956508,5,1,0.0,1,121.369890772,29.7,0.0
160829,245841768,3,1,0.0,1,886.3518949080002,32.99,0.0
160835,245842214,3,1,0.0,1,254.849593872,44.99,1.0
160843,242956508,5,1,0.0,1,546.934988044,29.7,1.0
160879,259619710,9,2,1.0,1,706.8442217039999,109.99,0.0
160881,257532432,8,1,0.0,1,583.234968804,147.95499999999996,0.0
160885,11996254,1,1,0.0,1,859.936517835,185.92,0.0
160892,653352,1,1,0.0,1,227.66284847,163.87,0.0
160899,242956508,5,1,0.0,1,9.95050838315,29.7,0.0
160933,257531582,8,1,0.0,1,695.1367611139999,261.773333333,0.0
160943,257490350,4,1,0.0,1,222.461221445,16.89,0.0
160947,255487712,6,1,0.0,1,608.612990523,74.9314634146,0.0
160957,240761674,12,1,0.0,1,576.372007266,54.96073170729999,0.0
160962,245841962,3,1,0.0,1,87.46517427309998,34.99,0.0
160981,259620356,9,2,1.0,1,960.13096794,32.345,0.0
161013,242956508,5,1,0.0,1,610.125319298,29.7,1.0
161014,255487712,6,1,0.0,1,980.125293725,87.29,0.0
161027,218994466,7,1,1.0,1,669.2957229269999,132.9,0.0
161032,259619838,9,2,0.0,1,952.540537358,81.045,0.0
161045,259619870,9,2,1.0,1,107.96159068200001,29.19,0.0
161082,11996254,1,1,0.0,1,181.894458368,162.54,0.0
161098,13863712,1,1,0.0,1,312.091691422,97.08654545450001,0.0
161103,242956508,5,1,0.0,1,892.869128303,26.99,0.0
161115,257488664,4,1,0.0,1,557.252270389,15.29,0.0
161120,255487712,6,1,0.0,1,633.896823679,75.95,0.0
161138,242956508,5,1,0.0,1,468.405989534,30.5742160279,0.0
161151,255487712,6,1,0.0,1,998.267866522,89.99,1.0
161155,255487712,6,1,0.0,1,505.315819615,89.99,0.0
161191,257165854,4,1,0.0,1,866.856181985,58.72,0.0
161199,257488824,4,1,0.0,1,172.342841295,26.99,0.0
