,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
23739,10697192,29.2,1.7,22.5,No,585.0,10.6,784.089564308,83.44,0.0
25580,14807856,29.2,3.1,22.5,Yes,585.0,10.6,110.68984025600001,83.44,0.0
26367,14807852,25.3,1.7,18.1,Yes,460.0,10.0,343.712744732,88.99,0.0
26429,14807856,29.2,3.1,22.5,Yes,585.0,10.6,249.194934474,86.31,1.0
26787,14807856,29.2,3.1,22.5,Yes,585.0,10.6,374.259909325,85.6233333333,0.0
26988,14807856,29.2,3.1,22.5,Yes,585.0,10.6,980.7339460789999,86.3548148148,0.0
27277,14807852,25.3,1.7,18.1,Yes,460.0,10.0,411.058200809,114.99,0.0
27743,14807856,29.2,3.1,22.5,Yes,585.0,10.6,674.6265110019999,87.1069565217,0.0
28412,14807856,29.2,3.1,22.5,Yes,585.0,10.6,646.948561043,83.44,0.0
29553,14807852,25.3,1.7,18.1,Yes,460.0,10.0,580.0849376159999,91.445,0.0
30258,14807852,25.3,1.7,18.1,Yes,460.0,10.0,875.8970172639999,99.45,0.0
31471,14807856,29.2,3.1,22.5,Yes,585.0,10.6,964.526418291,83.44,0.0
31960,14807852,25.3,1.7,18.1,Yes,460.0,10.0,509.05684749,114.99,0.0
32103,10697192,25.3,1.7,18.1,No,460.0,10.0,33.1509218428,111.76208333333334,0.0
32131,10697196,25.3,5.7,18.1,No,460.0,10.0,920.9739416189999,108.53416666666666,0.0
32560,14807852,25.3,1.7,18.1,Yes,460.0,10.0,738.0136180860001,105.30625,0.0
33282,14807852,25.3,1.7,18.1,Yes,460.0,10.0,721.087308218,105.30625,0.0
33494,14807852,25.3,1.7,18.1,Yes,460.0,10.0,493.300864111,98.0175,0.0
33502,10697192,27.25,1.7,20.3,No,522.5,10.3,604.636029223,90.72875,0.0
33604,14807856,29.2,3.1,22.5,Yes,585.0,10.6,89.08764018219999,83.44,0.0
33786,10697196,29.2,5.7,22.5,No,585.0,10.6,944.825028817,83.44,0.0
33888,10697192,29.2,1.7,22.5,No,585.0,10.6,305.098542549,83.44,0.0
33903,14807856,29.2,3.1,22.5,Yes,585.0,10.6,288.61684221400003,83.44,0.0
34160,10697196,29.2,5.7,22.5,No,585.0,10.6,214.57161751599998,84.45722222223333,0.0
34674,10697196,29.2,5.7,22.5,No,585.0,10.6,757.527979898,85.47444444446667,0.0
34693,14807856,29.2,3.1,22.5,Yes,585.0,10.6,122.662527882,86.4916666667,0.0
34875,14807852,25.3,1.7,18.1,Yes,460.0,10.0,401.260208095,88.99,0.0
35066,14807852,25.3,1.7,18.1,Yes,460.0,10.0,397.98757755099996,88.99,0.0
35089,14807856,29.2,3.1,22.5,Yes,585.0,10.6,983.505633389,83.44,0.0
35489,14807856,29.2,3.1,22.5,Yes,585.0,10.6,41.8218329383,86.31,0.0
36173,14807852,25.3,1.7,18.1,Yes,460.0,10.0,347.747672839,88.99,0.0
36646,14807852,25.3,1.7,18.1,Yes,460.0,10.0,432.38395473699995,87.83289473685,0.0
37166,14807856,29.2,3.1,22.5,Yes,585.0,10.6,578.621578029,86.67578947370001,0.0
38089,14807856,29.2,3.1,22.5,Yes,585.0,10.6,776.626415148,85.918125,0.0
38208,14807852,25.3,1.7,18.1,Yes,460.0,10.0,286.50362618099996,102.015714286,0.0
38311,14807856,29.2,3.1,22.5,Yes,585.0,10.6,833.679074662,83.44,0.0
38356,14807856,29.2,3.1,22.5,Yes,585.0,10.6,876.68338639,109.99,0.0
40038,14807856,29.2,3.1,22.5,Yes,585.0,10.6,763.582360663,83.44,0.0
40891,14807852,25.3,1.7,18.1,Yes,460.0,10.0,199.06552081400002,103.49,0.0
41040,14807856,29.2,3.1,22.5,Yes,585.0,10.6,905.1090880419999,86.31,0.0
41439,14807856,29.2,3.1,22.5,Yes,585.0,10.6,537.514641097,83.44,0.0
41836,14807856,29.2,3.1,22.5,Yes,585.0,10.6,200.606044481,83.44,0.0
42032,14807856,29.2,3.1,22.5,Yes,585.0,10.6,146.760185145,83.44,0.0
42421,10697196,29.2,5.7,22.5,No,585.0,10.6,679.9796134019999,84.53166666665,0.0
42505,14807856,29.2,3.1,22.5,Yes,585.0,10.6,31.9726189836,85.6233333333,0.0
43106,14807852,25.3,1.7,18.1,Yes,460.0,10.0,332.731094165,105.30625,0.0
43408,14807852,25.3,1.7,18.1,Yes,460.0,10.0,402.437863606,102.015714286,0.0
43434,10697196,27.25,5.7,20.3,No,522.5,10.3,555.726652078,102.95785714300001,0.0
43621,14807856,29.2,3.1,22.5,Yes,585.0,10.6,325.828642872,103.9,1.0
44588,14807852,25.3,1.7,18.1,Yes,460.0,10.0,333.781379658,96.5883333333,0.0
44894,14807856,29.2,3.1,22.5,Yes,585.0,10.6,602.714860106,90.01416666665,0.0
45090,14807856,29.2,3.1,22.5,Yes,585.0,10.6,428.51584295,83.44,1.0
45447,10697196,29.2,5.7,22.5,No,585.0,10.6,776.3394661039999,83.44,0.0
45636,10697196,29.2,5.7,22.5,No,585.0,10.6,358.416770579,83.44,0.0
46249,14807856,29.2,3.1,22.5,Yes,585.0,10.6,900.714666793,83.44,0.0
46323,14807856,29.2,3.1,22.5,Yes,585.0,10.6,586.387586851,83.44,1.0
46483,14807852,25.3,1.7,18.1,Yes,460.0,10.0,740.7659659939999,106.411666667,0.0
46741,14807852,25.3,1.7,18.1,Yes,460.0,10.0,532.976237263,88.99,0.0
46849,14807856,29.2,3.1,22.5,Yes,585.0,10.6,167.482842179,109.99,0.0
47113,10697192,29.2,1.7,22.5,No,585.0,10.6,885.1194763389999,109.99,0.0
47327,14807856,29.2,3.1,22.5,Yes,585.0,10.6,414.302849785,109.99,0.0
47596,14807856,29.2,3.1,22.5,Yes,585.0,10.6,291.78760056,103.9,0.0
47660,14807852,25.3,1.7,18.1,Yes,460.0,10.0,963.8444254230001,102.015714286,0.0
47845,14807856,29.2,3.1,22.5,Yes,585.0,10.6,949.85050086,92.9,0.0
47846,14807852,25.3,1.7,18.1,Yes,460.0,10.0,900.714666793,99.6558333335,0.0
48013,14807852,25.3,1.7,18.1,Yes,460.0,10.0,986.8886812769999,106.411666667,0.0
48088,14807852,25.3,1.7,18.1,Yes,460.0,10.0,423.82258708800003,96.5883333333,0.0
48784,14807856,29.2,3.1,22.5,Yes,585.0,10.6,424.891131948,85.8218181818,0.0
48785,14807852,25.3,1.7,18.1,Yes,460.0,10.0,402.060513988,99.45,0.0
49371,14807856,29.2,3.1,22.5,Yes,585.0,10.6,900.714666793,83.44,0.0
49533,10697192,27.25,1.7,20.3,No,522.5,10.3,670.243289309,99.215,0.0
49751,14807852,25.3,1.7,18.1,Yes,460.0,10.0,85.1196766475,114.99,0.0
50384,14807852,25.3,1.7,18.1,Yes,460.0,10.0,931.112931976,105.24,0.0
50534,14807852,25.3,1.7,18.1,Yes,460.0,10.0,856.923688145,95.49,0.0
50888,14807852,25.3,1.7,18.1,Yes,460.0,10.0,113.667912625,88.99,1.0
51019,14807856,29.2,3.1,22.5,Yes,585.0,10.6,317.675737774,92.9,0.0
51102,14807856,29.2,3.1,22.5,Yes,585.0,10.6,652.5903168259999,89.99,1.0
51244,14807856,29.2,3.1,22.5,Yes,585.0,10.6,591.150446851,87.2736363636,0.0
51880,14807856,29.2,3.1,22.5,Yes,585.0,10.6,549.133556755,83.44,0.0
52497,10697192,27.9,1.7,21.033333333333335,No,543.3333333333334,10.4,126.15961145799999,88.77666666666667,0.0
52665,10697196,26.6,5.7,19.566666666666666,No,501.6666666666667,10.2,17.1523396093,94.11333333333333,0.0
53379,14807852,25.3,1.7,18.1,Yes,460.0,10.0,806.85753359,99.45,0.0
53916,14807852,25.3,1.7,18.1,Yes,460.0,10.0,537.514641097,94.67500000000001,0.0
54029,14807856,29.2,3.1,22.5,Yes,585.0,10.6,963.8444254230001,89.9,0.0
54380,14807852,25.3,1.7,18.1,Yes,460.0,10.0,158.378585692,105.30625,0.0
54685,14807852,25.3,1.7,18.1,Yes,460.0,10.0,359.144148196,52.9,0.0
54992,14807856,29.2,3.1,22.5,Yes,585.0,10.6,916.507604223,86.3548148148,0.0
55350,14807852,25.3,1.7,18.1,Yes,460.0,10.0,690.088944572,105.30625,0.0
56006,10697196,26.6,5.7,19.566666666666666,No,501.6666666666667,10.2,130.320681606,98.0175,0.0
57025,10697196,27.9,5.7,21.033333333333335,No,543.3333333333334,10.4,525.0570090580001,90.72875,0.0
57056,14807856,29.2,3.1,22.5,Yes,585.0,10.6,729.5451106180001,83.44,0.0
57476,10697196,29.2,5.7,22.5,No,585.0,10.6,154.996574549,83.44,0.0
58084,14807856,29.2,3.1,22.5,Yes,585.0,10.6,381.0979065,83.44,1.0
58501,14807856,29.2,3.1,22.5,Yes,585.0,10.6,647.194218158,85.918125,0.0
58640,14807852,25.3,1.7,18.1,Yes,460.0,10.0,430.084665025,103.94,0.0
59191,10697196,25.3,5.7,18.1,No,460.0,10.0,603.37812988,97.10666666666667,0.0
59919,14807852,25.3,1.7,18.1,Yes,460.0,10.0,342.06183507599997,90.27333333333333,0.0
59976,14807856,29.2,3.1,22.5,Yes,585.0,10.6,368.217551786,83.44,0.0
60042,14807856,29.2,3.1,22.5,Yes,585.0,10.6,154.521971569,83.44,0.0
60105,14807856,29.2,3.1,22.5,Yes,585.0,10.6,664.611529247,87.01100000000001,0.0
60875,14807856,29.2,3.1,22.5,Yes,585.0,10.6,33.685383024699995,87.01100000000001,0.0
61091,10697192,29.2,1.7,22.5,No,585.0,10.6,917.515711207,85.22550000000001,0.0
61194,14807856,29.2,3.1,22.5,Yes,585.0,10.6,193.534698911,83.44,1.0
61238,14807856,29.2,3.1,22.5,Yes,585.0,10.6,20.688248508900003,109.99,0.0
61873,14807852,25.3,1.7,18.1,Yes,460.0,10.0,90.3003061763,105.30625,0.0
62109,14807852,25.3,1.7,18.1,Yes,460.0,10.0,193.534698911,103.94,1.0
62328,14807856,29.2,3.1,22.5,Yes,585.0,10.6,534.302009899,89.9,1.0
62463,14807856,29.2,3.1,22.5,Yes,585.0,10.6,65.35097599689999,89.9,0.0
62516,14807856,29.2,3.1,22.5,Yes,585.0,10.6,116.14931094200001,83.44,0.0
62575,14807852,25.3,1.7,18.1,Yes,460.0,10.0,657.760928231,103.94,0.0
62717,10697192,27.25,1.7,20.3,No,522.5,10.3,88.963793763,93.69,0.0
63508,14807856,29.2,3.1,22.5,Yes,585.0,10.6,658.706523666,83.44,0.0
63726,14807852,25.3,1.7,18.1,Yes,460.0,10.0,488.13026667599996,96.5883333333,0.0
63832,14807856,29.2,3.1,22.5,Yes,585.0,10.6,888.721034964,87.1069565217,0.0
64708,14807852,25.3,1.7,18.1,Yes,460.0,10.0,793.914922133,102.015714286,0.0
64785,14807852,25.3,1.7,18.1,Yes,460.0,10.0,813.2096610589999,103.94,0.0
64905,14807856,29.2,3.1,22.5,Yes,585.0,10.6,845.5872919210001,85.8218181818,0.0
64977,14807852,25.3,1.7,18.1,Yes,460.0,10.0,698.354254898,64.9,0.0
65078,14807852,25.3,1.7,18.1,Yes,460.0,10.0,470.34309165199994,103.94,0.0
65527,14807856,29.2,3.1,22.5,Yes,585.0,10.6,725.502509965,83.44,0.0
66240,14807856,29.2,3.1,22.5,Yes,585.0,10.6,444.54065258099996,83.44,0.0
66836,14807856,29.2,3.1,22.5,Yes,585.0,10.6,948.29513589,83.44,0.0
66860,14807856,29.2,3.1,22.5,Yes,585.0,10.6,198.269814825,85.8536363636,0.0
67077,14807856,29.2,3.1,22.5,Yes,585.0,10.6,340.971102375,92.9,0.0
67218,14807856,29.2,3.1,22.5,Yes,585.0,10.6,42.7707261834,89.9,0.0
68277,14807852,25.3,1.7,18.1,Yes,460.0,10.0,625.605998469,88.99,0.0
68615,14807856,29.2,3.1,22.5,Yes,585.0,10.6,660.6627437569999,79.96436363640001,0.0
68626,14807856,29.2,3.1,22.5,Yes,585.0,10.6,994.5718465489999,86.1576470588,0.0
69114,14807856,29.2,3.1,22.5,Yes,585.0,10.6,536.960729215,86.35321428569999,0.0
69166,14807852,25.3,1.7,18.1,Yes,460.0,10.0,763.582360663,74.39625,0.0
69423,14807852,25.3,1.7,18.1,Yes,460.0,10.0,856.923688145,88.99,0.0
69640,14807852,25.3,1.7,18.1,Yes,460.0,10.0,534.411645659,52.9,0.0
70036,14807856,29.2,3.1,22.5,Yes,585.0,10.6,299.784752776,63.08,0.0
70445,10697192,29.2,1.7,22.5,No,585.0,10.6,992.341248153,73.25999999999999,0.0
